UID,PointName,FriendlyPointName,PointType,,
PC100818B:NAE55-1/Field Bus1.POWER AND BTU METER.IB MAIN BOARD POWER METER.Analog Inputs.AI-9.Present Value,IB Main Power Meter,IB_Main_Power_Meter,BlockMeter,,IB MB ACTIVE ENERGY + (KWH)
PC100818B:NAE55-2/Field Bus1.Device-60021.Analog Inputs.AI-9.Present Value,SC Main Power Meter,SC_Main_Power_Meter,BlockMeter,,SC MB ENERGY
PC100818B:NAE55-2/Field Bus1.Device-60022.Analog Inputs.AI-9.Present Value,SC SB Canteen Power Meter,SC_SB_Canteen_Power_Meter,BlockMeter,,SC CAN MB ENERGY
PC100818B:NAE55-2/Field Bus1.Device-60023.Analog Inputs.AI-9.Present Value,SC MB Black Box Power Meter,SC_MB_Black_Box_Power_Meter,BlockMeter,,BBOX MB ENERGY
PC100818B:NAE55-4/Field Bus1.Device-60056.Analog Inputs.AI-9.Present Value,Blk D Main Power Meter,Blk_D_Main_Power_Meter,BlockMeter,,BLK D MB KWH
PC100818B:NAE55-4/Field Bus2.Device-60006.Analog Inputs.AI-9.Present Value,Main Building LT2 S8 Power Meter,Main_Building_LT2_S8_Power_Meter,LightingSubmeter,,BLK B MB S8 ACTIVE ENERGY + (KWH)
PC100818B:NAE55-4/Field Bus2.Device-60007.Analog Inputs.AI-9.Present Value,EMSB Main Power Meter,EMSB_Main_Power_Meter,BlockMeter,,EMSB PM ACTIVE ENERGY + (KWH)
PC100818B:NAE55-4/Field Bus2.Device-60008.Analog Inputs.AI-9.Present Value,Blk C Main Power Meter,Blk_C_Main_Power_Meter,BlockMeter,,BLK C MB ACTIVE ENERGY + (KWH)
PC100818B:NAE55-4/Field Bus2.Device-60005.Analog Inputs.AI-9.Present Value,Main Building LT1 S6 Power Meter,Main_Building_LT1_S6_Power_Meter,LightingSubmeter,,BLK B MSB S6 ACTIVE ENERGY + (KWH)
PC100818B:NAE55-5/Field Bus1.Device-60031.Analog Inputs.AI-9.Present Value,BH Main Power Meter,BH_Main_Power_Meter,BlockMeter,,BH MB ACTIVE ENERGY + (KWH)
PC100818B:NAE55-6/Field Bus1.Device-60047.Analog Inputs.AI-9.Present Value,Blk A Main Power Meter,Blk_A_Main_Power_Meter,BlockMeter,,BLK A MB ACTIVE ENERGY + (KWH)
PC100818B:NAE55-1/Field Bus1.POWER AND BTU METER.PAHU 1-1 POWER METER.Analog Inputs.AI-9.Present Value,IB PAHU 1-1 Power Meter,IB_PAHU_1_1_Power_Meter,AHUSubmeter,,IB PAHU 1-1 ENERGY (KWH)
